,Datetime,Tweet Id,Text,sentiment_score
26,2022-12-30 06:39:46+00:00,1608714442023501826,@kxiyong Taunya beneran jual tanah metaverse. Mampus.,0.0
27,2022-12-30 06:29:51+00:00,1608711946978877440,"Untuk menemani tontonan akhir tahun 2022, yuk klik link di bawah ini: https://t.co/PJfpB7nDza 

Bahas Future &amp; Ecosystems towards Metaverse DataGovAI 2022 BCA eHall Day 3 juga Digital Tourism during G20 by Wamen Parekraf Angela Tanoesoedibyo. https://t.co/Ww4em3cUGs",0.0
28,2022-12-30 06:24:53+00:00,1608710698754007041,Interality brings Kannada film 'Made in Bengaluru' to the metaverse https://t.co/PAfoEAEygV,0.0
29,2022-12-30 06:00:02+00:00,1608704442983124992,"Jadi gak perlu berantakkin lemari, tapi kamu bisa tetap mix and match outfit kamu😍
Cusss cobaiin sekarang🥳

#mixandmatch #outfit #outfittahunbaru #OOTD #tahunbaru #newyear #newyearoutfit #Metaverse #MetaverseIndonesia #Kotamaya #KotamayaLife #KotamayaID",0.0
30,2022-12-30 05:46:48+00:00,1608701115469819904,Ekonomi saat ini tidak hanya bersifat fisik namun dalam dunia maya bisa menjadi nyata seperti metaverse IKN,0.0
31,2022-12-30 05:17:36+00:00,1608693764268384258,"Banyak seniman dan artis Indonesia yang sudah menjual karya seninya melalui NFT, seperti si Juki, Jakarta Metaverse, Banyan Core, dan Digidoy.",0.0
32,2022-12-30 04:37:13+00:00,1608683604460310529,"Penasaran nggak apa jadinya kalau merayakan Natal di Metaverse?🧐

Ada satu perusahaan pengembang Metaverse di Amerika yang baru aja mengadakannya lho! Yuk, simak rangkuman keseruannya di sini!😆 https://t.co/Ha8USxrtKf",0.0
33,2022-12-30 04:33:07+00:00,1608682569268330500,"Bagaimana Prospek Bitcoin, Metaverse, dan NFT di 2023? https://t.co/seuZ5a0KqJ",0.0
34,2022-12-30 04:29:56+00:00,1608681771465605122,@NG_in_Metaverse @tongonfts 0x528BF54182b13016545BB395FbD489947737f955,0.0
35,2022-12-30 04:18:59+00:00,1608679014557974529,@tongonfts 0x9722C35FF21B1B11D17c0CaC1CA9Cc34781fa19f,0.0
36,2022-12-30 03:40:38+00:00,1608669363674181637,@PadmavatiPrati1 sungkemnya di alam metaverse.....jd kita tdk bs mengetahuinya.,0.0
37,2022-12-30 03:16:38+00:00,1608663325302456320,"Di Indo aja udah ada.

Oh iya di metaverse belum ada hihihihihihi",0.0
38,2022-12-30 02:53:23+00:00,1608657474227404802,"Wishnutama selaku Founding Chairman Jagat Nusantara optimis bahwa kehadiran Metaverse tidak menutup kemungkinan dapat dimanfaatkan untuk mengadakan Pemilu 2024 di dunia maya.

#pemilu #pemilu2024 #jokowi #metaverse #crypto https://t.co/QCydFaNlls",0.0
39,2022-12-30 02:06:23+00:00,1608645643811319809,"@cryptattoed @Isekai_ISK @sweenpi Tg name: Mini Boo/ @.kyoong16
Isekai metaverse 72 jam https://t.co/GkyPSwiPvA",0.0
40,2022-12-29 22:37:47+00:00,1608593147306868741,Here at Seiyuu Exhibition Hall @USMverse #USM #Metaverse #Web3 #RACA https://t.co/VNX3IrMyQd,0.0
41,2022-12-29 22:01:31+00:00,1608584020828512256,"NN93 (CEO Sekuya) &amp; CZ (CEO Binance) at B20 🚀🚀🚀

#SEKUYA #SKUY #SKUYARMY #METAVERSE #NFT #GGWPCLAN #NUSAMETA @sekuyaofficial https://t.co/llFZCFaWxk",0.0
42,2022-12-29 21:27:19+00:00,1608575415718936577,@ganeeeng Punya dia. Lagi ngembangin ekosistem metaverse juga,0.0
43,2022-12-29 20:09:50+00:00,1608555915992772609,@GoranBestt @allianceblock Kucoin,0.0
44,2022-12-29 19:38:16+00:00,1608547970173272064,"@Shill_Ronin @GiftoMetaverse @Mr_Guyoren Bang Ronin
Gifto Metaverse
tg alpacamabur
3 https://t.co/Ntlr9KRBms",0.0
45,2022-12-29 19:33:11+00:00,1608546692319838208,"@moviemenfes gw tdnya ngira emg ada kek orang dibalik ini semua yg ngatur mereka ke dunia lain. Tp kalo dipikir pake logika gamasuk diakal bgt, gmn coba mindahin satu kota +bunuh org pake laser dr langit gt? Atau ga kemungkinan kedua, ini semua cuma metaverse kek omongannya Mira. Tp somehow-",0.0
46,2022-12-29 19:32:19+00:00,1608546475067478017,"@MrJenus @GiftoMetaverse Jenus
Gifto Metaverse
tg alpacamabur https://t.co/3Dtf3k32u9",0.0
47,2022-12-29 19:27:32+00:00,1608545271876812800,"Dapat Suntikan US$52 Juta dari SBI dan Square Enix, Perusahaan Game Gumi Bakal Garap Bisnis Metaverse https://t.co/Vm7QrxUsY5",-0.4
48,2022-12-29 17:44:14+00:00,1608519272866934785,"mine @Encodend 

$ICP #CUBEBOT #NFT #Metaverse https://t.co/IRkV7wxQef",0.0
