,Datetime,Tweet Id,Text,Username,Location
0,2021-10-30 23:40:40+00:00,1454594128910512133,"$gala 🚀 🚀 🌕 

#Metaverse
#galagames",IritaAy,🇵🇭 
1,2021-10-30 23:40:26+00:00,1454594072513941504,FB berubah jadi metaverse yaitu alam (negara) yg dikendalikan oleh mark almasoni. Jadi tinggal nagih kaca mata dimatamu maka kau seperti ketemu dialam nyata dengan orang yg meskipun jauh. Musibah akhir zaman. Bersiaplah menghadapi fitnah yg lebih dahsyat,theaqyal,
2,2021-10-30 23:34:35+00:00,1454592600015392776,Mimpi yang nyata. Apa itu metaverse? Penjelasan lengkap tentang metaverse https://t.co/YEYRyw31VV,maulana696969,"Boyolali, Indonesia"
3,2021-10-30 23:22:38+00:00,1454589593848881153,#metaverse tokens going bananas $mana $ufo,RNCrypto74,
4,2021-10-30 23:18:47+00:00,1454588623702089736,"https://t.co/fvB1dYBFQT

@DecentralGames $ice $dg #Metaverse $sol $blok $atlas $mana $sol $starl",Gab61408667,
5,2021-10-30 23:16:40+00:00,1454588090295664642,"Oochie wally, Bang Bang!😍 #metaverse #lukso #lyxe",FrenchiNicci,
6,2021-10-30 23:12:32+00:00,1454587049361567744,@tvindonesiawkwk Gua kira tadi beta test Metaverse nya facebook,tocovidia,Yogyakarta
7,2021-10-30 22:46:23+00:00,1454580469790617602,#Metaverse gem $MLT,ZamirLX,"Birmingham, England"
8,2021-10-30 22:37:48+00:00,1454578307924566021,@GiveAwayHost @Digi_metaverse Dc yaenuri https://t.co/qqndRz3rtb,YaenuriBigWin,
9,2021-10-30 22:15:52+00:00,1454572788354732039,Galak bngt Metaverse ini lohhh hmmm😮‍💨,jutxixi,
10,2021-10-30 21:58:36+00:00,1454568444272144386,@GiveAwayHost @koleeey_ @Digi_metaverse Bissmillah 💎 https://t.co/KYPrDJg9HO,miss_bigwin_NJ,"Lampung, Indonesia"
11,2021-10-30 21:58:27+00:00,1454568406053625857,metaverse menggila,kaazuhaaa,He/Him. pfp: @.bakpiyakukus
12,2021-10-30 21:52:08+00:00,1454566816357957634,$MANA $ENJIN #Metaverse #Meta #FacebookMeta,Jvernon16,"Jefferson city, Mo"
13,2021-10-30 21:28:03+00:00,1454560755999727616,"@Metaverse_Inu @ZODIYB
@Crypto_topics
@Elauvien
@ciarraw25
@ginikolog555
@GD10V
@MeansDarius
@ sumonkhan2003

0xdAdC9B542B5c66bbb77f1D97D5f136D71c2630250",Lesia537,
