,Datetime,Tweet Id,Text,Username,Location
0,2022-11-29 23:39:33+00:00,1597737056947474432,Mencari tau sesuatu yg gw ga ngerti? Arawinda siapa? gw pikir windah basudara di metaverse lain 😄🙏 https://t.co/Ykh0pF4kDq,jecflo,"鈴懸なんちゃら ""𝐼𝑛𝑑𝑎ℎ𝑛𝑦𝑎 𝑆𝑒𝑛𝑦𝑢𝑚 𝑀𝑎𝑛𝑖𝑠𝑚𝑢 𝐷𝑎𝑙𝑎𝑚 𝑀𝑖𝑚𝑝𝑖𝑘𝑢"" "
1,2022-11-29 23:15:57+00:00,1597731117104508928,"aden soms nya menembus metaverse @jxaemin 
becandaaaa adennnn wkwk 😎😎😎",aersthetic,uncommitted.
2,2022-11-29 22:29:07+00:00,1597719330044932096,Wir Asia (WIRG) dan Salim Grup Suntik Modal Perusahaan Metaverse Rp200 Miliar https://t.co/8DTMaN29RL,beritaekonomi24,
3,2022-11-29 22:16:32+00:00,1597716166398468096,Wir Asia (WIRG) dan Salim Grup Suntik Modal Perusahaan Metaverse Rp200 Miliar https://t.co/eayCqlluP2,Bisniscom,"Jakarta, Indonesia"
4,2022-11-29 18:56:19+00:00,1597665778039652352,"@EmanateVinylNFT  @zhestrec @innkeeperdoteth
0x86F96B8Da182597b252B972575Ea236BA18e4186
#DCL #Metaverse #TheInn #WeeklyMelody https://t.co/EPsocUzgeF",LordNemesisDCL,
5,2022-11-29 18:24:16+00:00,1597657711805878273,@MattInWeb3 @HELIX_Metaverse yeehawww,Jampzer,
6,2022-11-29 17:50:13+00:00,1597649145103253504,"Sony Merilis Produk Metaverse Baru ""Mocopi"" https://t.co/nPUZeAzdHI #xiaomi #redmi #poco #miui #android #google #xiaomiintro #smartphone #apps",xiaomiintro,
7,2022-11-29 16:48:43+00:00,1597633666179813377,@nctzenbase ini au dari metaverse mana ya nder,0623SENIN,
8,2022-11-29 15:50:53+00:00,1597619113098371072,"kan ngaco kan, KNP ASA METAVERSE SAMA TEH?!",glossierreys,yunho's  마음
9,2022-11-29 15:50:29+00:00,1597619012967755777,"apa itu hereditas, pembelahan mitosis, profase, metafase, metaverse, lipton?!AK CUMA TW YUNHO",glossierreys,yunho's  마음
10,2022-11-29 15:31:46+00:00,1597614301153746944,"Dari aspek brand awareness, BRI turut memperkenalkan diri sebagai bank yang siap hadir di metaverse. Caranya adalah dengan menghadiri event yang berkaitan dengan metaverse untuk mendalami market dan komunitas yang dapat engage bersama BRI di dunia virtual ini. #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
11,2022-11-29 15:31:45+00:00,1597614298628775936,"Selagi mencari product-market fit, BRI juga terus mempersiapkan amunisi yang kami percaya dapat membantu perusahaan untuk relevan di metaverse. #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
12,2022-11-29 15:31:45+00:00,1597614296460308481,"Meskipun metaverse masih berada di tahap awal, BRI memiliki aspirasi untuk menjadi first mover, yaitu berperan sebagai bank di Indonesia yang terdepan dalam mengadopsi metaverse lebih awal. #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
13,2022-11-29 15:31:44+00:00,1597614293943320576,"Ini karena BRI selalu berupaya mengeksplorasi dan mengkaji tren teknologi yang ada demi menemukan product-market fit, terutama dalam konteks metaverse. #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
14,2022-11-29 15:31:43+00:00,1597614291351670785,"Ke depannya, tidak menutup kemungkinan bahwa BRIAPI dapat menyediakan produk API yang relevan untuk diterapkan di dalam ekosistem partner BRI ketika mereka bergabung di metaverse. #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
15,2022-11-29 15:23:52+00:00,1597612313720152065,"Dalam konteks pengembangan metaverse,  BRI memiliki BRIAPI, layanan Application Programming Interface yang memudahkan integrasi antara layanan perbankan BRI dengan platforpihak eksternal hingga BRI bisa hadir pada berbagai ekosistem di luar perbankan. #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
16,2022-11-29 15:23:51+00:00,1597612311732432898,Teknologi metaverse memungkinkan BRI untuk membuka representasi kantor cabang virtual dengan pelayanan dan interaksi kepada nasabah yang umumnya dirasakan pada kantor cabang fisik. #KinerjaBRIQ3,ha________a__,"DKI Jakarta, Indonesia"
17,2022-11-29 15:23:50+00:00,1597612307177041920,"Metaverse dapat dipandang sebagai bagian dari evolusi teknologi Internet yang sangat berpotensi menghadirkan fungsi perbankan dengan cara yang tidak pernah terjadi sebelumnya. Pertanyaannya adalah, perbankan dengan experience seperti apa yang cocok di metaverse? #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
18,2022-11-29 15:23:50+00:00,1597612304933474304,"Wow keren, BRI juga mencoba peluang di dunia metaverse. Tahu metaverse kan ya? 

Metaverse adalah dunia virtual yang dihuni oleh perwujudan manusia dalam bentuk avatar dan objek 3D. Lalu bagaimana BRI memanfaatkan dunia metaverse dalam bisnisnya? #KinerjaBRIQ3",ha________a__,"DKI Jakarta, Indonesia"
19,2022-11-29 15:10:48+00:00,1597609025474072576,@MTNRwanda MTN Rwanda muraho? Nonese abemerewe amatike bakanemeza ko bazitabira Alt MTN Metaverse concert kuki mutatubwira uko tuzitabira ? Nomero yacu ni 0781806122,ISINGIZWEOLIVI2,nyagatare
20,2022-11-29 14:59:53+00:00,1597606276522860544,"Dalam rangka implementasi digital, BRI berupaya meningkatkan literasi masyarakat terkait perbankan melalui kantor cabang yang berada di dunia virtual metaverse. Bank BUMN ini fokus dalam memberikan edukasi di dunia virtual tersebut. 
#KinerjaBRIQ3 memang mantap ya.",Jim________m__,"DKI Jakarta, Indonesia"
21,2022-11-29 14:59:52+00:00,1597606273956352000,"Dalam rangka implementasi digital, BRI berupaya meningkatkan literasi masyarakat terkait perbankan melalui kantor cabang yang berada di dunia virtual metaverse. Bank BUMN ini fokus dalam memberikan edukasi di dunia virtual tersebut. 

#KinerjaBRIQ3",Jim________m__,"DKI Jakarta, Indonesia"
22,2022-11-29 14:44:04+00:00,1597602297604890630,Salim Group &amp; WIR Group Akan Kembangkan Dunia Metaverse https://t.co/DayPbU2jqt,swamediainc,"Jakarta Pusat, DKI Jakarta"
23,2022-11-29 14:28:36+00:00,1597598405299441664,"Proses Desain dan Cetak Kalender, Jelas Tidak Bisa WFH dan via Metaverse! https://t.co/OTuar6rAvc",kompasiana,Indonesia
24,2022-11-29 13:30:41+00:00,1597583831913189376,"Kapolres Tangsel AKBP Sarly Sollu, S.I.K., M.H. Memberian Penghargaan Kepada Santri Yang Berprestasi Tahun 2022 di Wilkum Polres Tangsel Yaitu Imran (Santri Ponpes Darul Mutaalimin) atas prestasinya meraih medali emas dalam kompetisi Internasional Youth Metaverse Robot Challange https://t.co/MT9qu6xQz5",Poldametrojaya_,Jakarta Capital Region
25,2022-11-29 13:28:48+00:00,1597583355914117125,"$SAPX - Huge Update Coming Soon..

@SAPX_7arts #Metaverse #NFTs #blockchain #Entertainment
#StockMarket $CEI $SPY $DWAC $VERU $XELA $IMPP $DIDI $AMZN $TWTR $MULN $MMAT

https://t.co/IR9SxBAya2",TodayWire,United States
26,2022-11-29 13:25:41+00:00,1597582570040225796,@Winna_Metaverse @Keic00kieZ @Mrsifah Asyiap,Gongcifacai2574,
27,2022-11-29 13:22:59+00:00,1597581894492856321,Sistem Hiburan Metaverse Pertama di Dunia https://t.co/mR5Yer7GWx,up0nk_aje,"Bengkulu, Indonesia"
28,2022-11-29 12:50:48+00:00,1597573794818068481,"$DIA #oracles

https://t.co/85VZhPkJnn

#DIA #DEX #oracle #Web3 #defi #CROSSCHAIN #NFT #Metaverse #data #hodl #Altcoins #Crypto #Cryptocurrency #cryptonews $ICP #ICP #BSCGem #1000xgem #BSCGems #bsc #BTC #ETH #XRP #shiba #doge",Seeder231,
29,2022-11-29 12:14:34+00:00,1597564675621031937,"Era Metaverse Segera Dimulai, GENEXYZ Bersiap Hadirkan Virtual Influencer https://t.co/KGcnlcckcg",merdekadotcom,Indonesia
30,2022-11-29 12:00:50+00:00,1597561217370947585,"KPMG, salah satu perusahaan terbesar dalam bisnis audit, telah menunjuk kepala baru metaverse, dengan tujuan memulai debut model bisnis baru berdasarkan teknologi cryptocurrency dan metaverse. https://t.co/MonqsxwcKi",iqtradeId,Indonesia
31,2022-11-29 11:37:22+00:00,1597555313229856768,"He who controls the Spice controls the Metaverse... access to the @spice_finance High Council confirmed 🐫💫
  
#NFTs #DeFi #SPICE

-------------------------------

13wqyikl6mtci980nuj6pwjfqt0p65uaezprbg1nafik",munjihidayat13,
32,2022-11-29 11:29:58+00:00,1597553449864163328,Memperkenalkan Website dengan Fitur menarik untuk mempermudah pengguna memasuki Dunia Metaverse https://t.co/KqGEbyZc0v,scarletviolet91,
33,2022-11-29 11:10:25+00:00,1597548532759932928,"Christmas Gangnam Style 🎄😎
ZEPETO id: GPNT3A 

@zepeto_official @zepeto_kr 
#zepeto #zepetofyp #zepetoworld #metaverse #virtual #gangnamstyle #psy https://t.co/uxcc2qNLmf",YiyiZpt,
34,2022-11-29 10:48:16+00:00,1597542956638117888,"Terletak di Samudera Pasifik, negara yang amat kecil bernama Tuvalu membuat berita heboh, yakni memindahkan negara mereka dalam bentuk Metaverse karena daratan di sana makin tenggelam.  https://t.co/htFKn5lPTN",detikcom,"Jakarta, Indonesia"
35,2022-11-29 10:32:30+00:00,1597538988340183040,"Metapolis
          X
@blockchainedind 

#Metaverse #Web3 #Metapolis #Blockchain #Crypto",DennisWilsonDW,
36,2022-11-29 10:16:15+00:00,1597534900957155329,"Terletak di Samudera Pasifik, negara yang amat kecil bernama Tuvalu membuat berita heboh, yakni memindahkan negara mereka dalam bentuk Metaverse karena daratan di sana makin tenggelam.  https://t.co/wiZS09sQcl",detikfinance,"Jakarta, Indonesia"
