,Datetime,Tweet Id,Text,Username,Location
0,2022-07-30 23:52:46+00:00,1553529061720203264,"@dewana_garit Sok-sokan revolusi industri 4.0 lah, Metaverse segala lah, ngomong big data lah, bla bla bla. Noh SMS Spam urusin! Mengkesel. 🤯

Ini maksudnya apa? Ada SMS Easycash, seumur-umur blom pernah gw pk tuh aplikasi! https://t.co/4cxDlhMkqg",BebalBoy,Java Island 
1,2022-07-30 23:38:05+00:00,1553525366786228224,"Hai ARMY ada yg belum ngerti kah tentang vote VMA ? Pliss ini gampang bgt tau.. Reset nya tiap jam 11:00 WIB. Kalian bisa vote pake semua akun email dan akun twt kalian..  
Kategori :
*Best K-pop - Yet To Come
*Best Metaverse Performance - Minecraft

https://t.co/f4SOnfDBG2 https://t.co/aAyBZOb13f",youarmylife,BTS World  
2,2022-07-30 23:20:34+00:00,1553520960065896448,"@ezash Tahun depan dijanjikan lg metaverse, bukit algoritma, unicorn dkk,
Ketipu lagi di 2024 dst",yogied,"Kalimantan Tengah, Indonesia"
3,2022-07-30 23:00:01+00:00,1553515789273030656,"Terdepan soal digitalisasi Telkom siap hadirkan metaverse mall di Digiland 2022
 #BersinergiMembangunRI https://t.co/Pf1q605mLI",CancanaJung,
4,2022-07-30 23:00:01+00:00,1553515787763138561,"Telkom siap hadirkan metaverse mall di digiland 2022
#BersinergiMembangunRI https://t.co/3OhLu9PLkr",anisasasa1112,
5,2022-07-30 23:00:00+00:00,1553515784936116224,"Terdepan soal digitalisasi, telkom siap menghadirkan metaverse mall di digiland 2022 #BersinergiMembangunRI https://t.co/B5uNWBJRkn",Baejudy15,
6,2022-07-30 22:48:56+00:00,1553512999565946881,"Mari berinteraksi, berkolaborasi, dan bertransaksi dengan cara menyenangkan di platform metaverse Telkom Indonesia untuk mewujudkan kesetaraan digital ekonomi Indonesia.
#DigiLand2022 #DigitalBisaUntukSemua #Alway57elkom
#UntukIndonesiaLebihBaik",harryDamon,"Sukabumi, Indonesia"
7,2022-07-30 22:19:07+00:00,1553505496820326400,@Metaverse_Yin Mario Kart 64,freshlettuce42,The Gutter
8,2022-07-30 21:46:07+00:00,1553497191137820673,"Crypto memompa setelah kenaikan suku bunga Fed, Zuck menyematkan harapan pada Metaverse menghasilkan ratusan miliar, dan Tesla membukukan keuntungan BTC $ 64M: Hodler’s Digest, 24-30 Juli https://t.co/uwBOsAuI6z",CaritauInfo,Indonesia
9,2022-07-30 21:33:44+00:00,1553494075793444882,@DeFiWarriorGame still #HODL strong $FIWA #DeFiProject #GamingLife #Metaverse #NFTs https://t.co/jhRwJMN3hn,kevinmu76333681,TheRuggables
10,2022-07-30 21:09:22+00:00,1553487943473713152,@prmzk @kemkominfo Kemkominfo selangkah maju menuju era METAVERSE.. 😂😂,HydarHakim,"Shireoaks, England"
11,2022-07-30 20:50:14+00:00,1553483127284060160,@Metaverse_Yin Kart,raudskeggNFT,"Colorado, USA"
12,2022-07-30 20:17:00+00:00,1553474762759983104,"BANANA!!!!🍌🍌🍌🍌🍌

https://t.co/bAIVLH4p7M

#NFTs #NFTCommunity #Metaverse #BUM #opensea
#OpenSeaNFT #Crypto https://t.co/LyZ8n3g7lM",bumificator,Metaverse
13,2022-07-30 19:56:42+00:00,1553469656542990336,@txtdrpemerintah Mungkin tenis meja online dengan teknologi metaverse. keren! Maju terus kominfo!,MariaMich13_,
14,2022-07-30 19:54:35+00:00,1553469121421086726,"@CryptoJoeBlack @cryptoexelance @Metalandsgg #Metalands  $CIFI

#Metaverse
#NFT
#Web3
#GameFi",ahh_yazar,
15,2022-07-30 19:42:04+00:00,1553465973310738432,"@cryptoexelance @Metalandsgg $CIFI  #Metalands

#GameFi
#Metaverse 
#NFT
#Web3",ahh_yazar,
16,2022-07-30 19:19:47+00:00,1553460366499274754,"Sold! NinjaDojo #33 #13/25 for $19.99
#nft #smartchain #metaverse #crypto https://t.co/hOd47zzi4h",ninjaft_feed,
17,2022-07-30 19:12:08+00:00,1553458440823242753,"@irgelexix ""Indonesia menuju dunia metaverse dan membuat kemajuan dalam industri digital""

""Tapi boong""",Pinkactus6,She/Her 00's
