,Datetime,Tweet Id,Text,Username,Location
0,2022-03-30 23:56:44+00:00,1509318741410025474,@kotakmakan Gamenya apa namanya? Ini maen metaverse kan?,matasapi,Bandung
1,2022-03-30 23:26:06+00:00,1509311032807890951,#shiba $shib #shibainu #shibverse #Metaverse #altcoin https://t.co/iiLsXyv5Ii,jpegheat,
2,2022-03-30 23:12:06+00:00,1509307508422324231,"𝗗𝗢𝗡’𝗧 𝗦𝗧𝗢𝗣 𝗕𝗘𝗟𝗜𝗘𝗩𝗜𝗡𝗚!!!
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
 
𝗛𝗢𝗟𝗗 𝗢𝗡 𝗧𝗢 𝗧𝗛𝗔𝗧 𝗙𝗘𝗘𝗟𝗜𝗡’!!!
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
 $CINU #CheemsInu  #cheems #CHEEMSARMY #BSC #BSCGem #GEM #cryptocurrency #100xgem #1000xgem #NFT #metaverse #passiveincome @1goonrich @CheemsInu https://t.co/2riG4HLBjT",lambosoonexpert,moon
3,2022-03-30 22:39:56+00:00,1509299412685946881,Bloktopia to $5 #1 #Metaverse https://t.co/Uy37Z5VgGE,QUICKCRYPT0,
4,2022-03-30 22:34:57+00:00,1509298159155126273,@ShibTheMV #SHIBARMY #Metaverse $shib https://t.co/nXRZA9pZci,Steinborn24,
5,2022-03-30 22:16:19+00:00,1509293471076478978,#metaverse $SHIB,binnydassi,India
6,2022-03-30 22:16:09+00:00,1509293427418185735,"Sold! NinjaDojo #37 #4/5 for $99.99
#nft #smartchain #metaverse #crypto https://t.co/lyuGMpMmP6",ninjaft_feed,
7,2022-03-30 22:09:54+00:00,1509291856085098496,@AaronLeupp @Beppu_Metaverse @rena_mtv @JeanBeppu 0xf3d1e270694af5309995cc77ea2520bbcbb1f536,Meta_Titi,between worlds
8,2022-03-30 21:40:32+00:00,1509284465541103625,@metaverse_haber Blok,MEHMET190372,"Mersin, Türkiye"
9,2022-03-30 21:33:52+00:00,1509282787664273414,$SHIB #metaverse,TonyCampobasso,"Chicago, IL"
